time,pmt_high_voltage,pmt_current,v_p2p_ch1,v_rms_ch1,v_p2p_ch2,v_rms_ch2
1741441907.5456123,2005.0,266.33,0.719999969,0.0665048063,1.4199999571,0.0567493439
1741441913.3839662,2010.0,267.085,1.9999998808,0.0844841674,1.7599999905,0.0618094504
1741441919.6354468,2014.8,267.815,1.5999999046,0.0543971509,1.0,0.0854149759
1741441925.821465,2020.0,268.605,1.6799999475,0.04886657,0.9599999785,0.067270577
1741441932.0086434,2025.0,269.36,1.2399998903,0.1161197349,2.6399998665,0.0857777521
1741441937.921655,2030.0,270.13,1.0,0.0535270609,3.9599997997,0.149649173
1741441943.9584444,2034.8,270.85,2.9599997997,0.0889330283,2.0,0.0851334184
1741441950.031675,2039.9,271.635,1.8400000334,0.0647767335,3.4799997807,0.0879897103
1741441955.7009583,2044.9,272.395,2.7199997902,0.1037002429,2.3199999332,0.0891882405
1741441961.4173045,2050.1,273.17,0.9599999785,0.1082791239,1.3600000143,0.0811916068
1741441967.1818442,2055.0,273.925,2.8000001907,0.1116856411,3.1199998856,0.0923483148
1741441973.2763276,2059.9,274.685,2.1599998474,0.0955379009,2.6399998665,0.1502512246
1741441979.1243694,2064.9,275.425,2.8399999142,0.1829463989,3.2799999714,0.0807012096
1741441985.4487138,2070.1,276.205,2.6399998665,0.1039130315,2.1199998856,0.1073050126
1741441991.4190092,2075.0,276.965,2.8800001144,0.1552145481,3.1999998093,0.1375344545
1741441997.899601,2080.0,277.71,3.5999999046,0.1463921219,2.2000000477,0.1793679744
1741442004.14107,2085.1,278.485,6.5599999428,0.0973041952,4.3199996948,0.3830251694
1741442009.6453173,2089.9,279.22,6.7999997139,0.1015289277,5.1999998093,0.2151895165
1741442015.566585,2094.8,280.01,2.6399998665,0.1348073781,5.759999752,0.1705073267
1741442021.6962187,2099.9,280.745,4.4000000954,0.1867032498,5.1199998856,0.1625303328
1741442028.0765564,2104.9,281.52,3.4399998188,0.130686,4.7999997139,0.1909081936
1741442033.9942858,2109.7,282.295,3.1199998856,0.2501060367,5.5999999046,0.1803682148
1741442040.1939743,2115.0,283.035,7.7999997139,0.1423565447,3.6799998283,0.3268690407
1741442046.538509,2119.9,283.775,4.1599998474,0.2101467699,4.4000000954,0.2590035498
1741442052.3223813,2124.6,284.56,5.1999998093,0.522606194,4.5999999046,0.5808191895
1741442058.512178,2130.0,285.315,5.5999999046,0.2211203724,8.8000001907,0.2055461407
1741442064.5119243,2135.0,286.075,7.4000000954,0.3313184381,13.0,0.2781347632
1741442070.2792296,2140.0,286.84,6.1999998093,0.338653028,4.7999997139,0.2442127317
1741442076.2478368,2144.7,287.555,7.7999997139,0.2584302127,7.1199998856,0.5924968123
1741442082.1723776,2150.0,288.345,29.8000011444,0.4452826679,10.3999996185,0.3887369931
1741442087.9109476,2155.0,289.125,11.1999998093,0.3390781581,13.1999998093,0.25881809
1741442093.5421712,2159.9,289.86,10.1999998093,0.4990587533,8.3999996185,0.3962206542
